# asset	reason it carries no sidecar
instagram/feed/feed-01-invented-name-s2.png	slide 2 of the 4 slide carousel that is Instagram feed post 1; the caption is on feed-01-invented-name-s1.txt
instagram/feed/feed-01-invented-name-s3.png	slide 3 of the 4 slide carousel that is Instagram feed post 1; the caption is on feed-01-invented-name-s1.txt
instagram/feed/feed-01-invented-name-s4.png	slide 4 of the 4 slide carousel that is Instagram feed post 1; the caption is on feed-01-invented-name-s1.txt
linkedin/carousel/li-c-02-1080x1350.png	page 2 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-03-1080x1350.png	page 3 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-04-1080x1350.png	page 4 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-05-1080x1350.png	page 5 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-06-1080x1350.png	page 6 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-07-1080x1350.png	page 7 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
linkedin/carousel/li-c-08-1080x1350.png	page 8 of the 8 page document post that is LinkedIn post 4; the caption is on li-c-01-1080x1350.txt
bilingual/berlin/berlin-de-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/berlin/berlin-en-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/madrid/madrid-en-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/madrid/madrid-es-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/paris/paris-en-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
